SegmentID,ReachDescription,USGS_Qstation,StationDescription
COLCLC01_A,Colorado River from Paradise Creek to below the confluence with Rifle Creek,9085100,"COLORADO RIVER BELOW GLENWOOD SPRINGS, CO"
COLCLC01_B,Colorado River from Roaring Fork to Paradise Creek,9085100,"COLORADO RIVER BELOW GLENWOOD SPRINGS, CO"
COLCLC02a_A,Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.,9095500,"COLORADO RIVER NEAR CAMEO, CO"
COLCLC04a_A,"Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC04a_B,Mamm Creek,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC04a_C,Alkali Creek,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC04a_D,South Canyon Creek sections above hot springs,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC04c_A,South Canyon Creek from South Canyon Hot Springs to Colorado River,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC04d_A,"The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC04e_A,Mainstem of Dry Creek including all tributaries and wetlands from the source to immediately above the Last Chance Ditch.,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC05_A,"All tributaries to the Colorado River, including wetlands, which are within the boundaries of White River National Forest, except for the specific listing in Segments 9a and 9c.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC06_A,Mainstem of Oasis Creek including all tributaries and wetlands from the boundary of White River National Forest to the confluence with the Colorado River,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC07a_A,"Mainstem of Mitchell, Canyon, Elk, Garfield, Beaver, and Cache Creeks, including all tributaries and wetlands, from the boundary of the White River National Forest to their confluences with the Colorado River. Battlement Creek from the most downstream bo",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC07b_A,"Mainstem of Divide Creek, including all tributaries and wetlands, from the boundary of the White River National Forest to the confluence with the Colorado River.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC08_A,"Mainstem of Northwater and Trapper Creeks, including all tributaries and wetlands, from their sources to the confluence with the East Middle Fork of Parachute Creek. East Middle Fork of Parachute Creek, including all tributaries and wetlands, from the so",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC09a_A,"Middle Rifle Creek, including all tributaries and wetlands, from its source to the confluence with West Rifle Creek. East Rifle Creek, including all tributaries and wetlands, from the source to the boundary of the White River National Forest.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC09c_A,"Battlement Creek, including all tributaries and wetlands, from the source to the most downstream boundary of BLM lands.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC10_A,East Rifle Creek from the White River NF boundary to Rifle Gap Reservoir. Rifle Creek from Rifle Gap Reservoir to the Colorado River,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC10_B,West Rifle Creek and tributaries,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC11a_A,"Mainstem of the West Fork of Parachute Creek, including all tributaries, from its source to West Fork Falls. Mainstem of East Fork of Parachute Creek, including all tributaries and wetlands, from a point immediately below the mouth of First Anvil Creek t",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC11b_A,"Mainstem of the West Fork of Parachute Creek from West Fork Falls to the confluence with Parachute Creek; mainstem of the Middle Fork of Parachute Creek, including all tributaries, from the source to the confluence with East Middle Fork of Parachute Cree",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC11e_A,"That portion of the mainstem of the East Fork of Parachute Creek, including all tributaries and wetlands, within Sections 27, 28, and 29, T5S, R95W.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC11f_A,"Mainstem of the East Fork of Parachute Creek from the west boundary line of S29, T5S, R95W to the confluence with MiddleFork of Parachute Creek",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC11g_A,All tributaries to East Fork Parachute Creek on the south side of the East Fork Parachute Creek from a point immediately below First Anvil Creek to the confluence with Parachute Creek; all tributaries to Parachute Creek on the east side of Parachute Cree,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC11h_A,"Mainstem of Parachute Creek, including all tributaries and wetlands, from the confluence of the West and East Forks to the confluence with the Colorado River except for specific listings in segment 11g.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC12b_A,"All tributaries and wetlands to the Colorado River from a point immediately below the confluence of Parachute Creek to apoint immediately below the confluence with Roan Creek, except for the specific listings in segments 14a, 14b and14c",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC13a_A,"All tributaries to the Colorado River including wetlands, from a point immediately below the confluence of Roan Creek tothe Colorado/Utah border except for the specific listings in Segments 13b through 19",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC13a_B,"All tributaries to the Colorado River including wetlands, from a point immediately below the confluence of Roan Creek tothe Colorado/Utah border except for the specific listings in Segments 13b through 19",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC14a_A,"Mainstem of Roan Creek including all wetlands and tributaries, from its source to a point immediately above the confluence with Clear Creek, except for the specific listing in segment 14b. Clear Creek, including all tributaries and wetlands, from the source to a point immediately below the confluencewith Tom Creek",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC14b_A,"Clear Creek, including all tributaries and wetlands, from a point immediately below the confluence with Tom Creek to theconfluence with Roan Creek. Roan Creek, including all tributaries and wetlands, from a point immediately above the confluence with Clear Creek to a point immediately below the confluence with KimballCreek",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC14c_B,"North, South and mainstem of Dry Fork including tributaries",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC14c_C,"Roan Creek and tributaries including Conn Cr, Logan Wash, Bloat Gulch and Gibler Gulch",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC15a_A,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC15b_A,All tributaries and wetlands to Buzzard Creek from the Grand Mesa National Forest boundary to the confluence with Plateau Creek.,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC15c_A,Mainstem of Plateau Creek from the outlet of Vega Reservoir to a point immediately below the confluence with Buzzard Creek.,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC15d_A,Mainstem of Buzzard Creek from the Grand Mesa National Forest boundary to its confluence with Plateau Creek,9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC16_A,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",9105000,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC17a_A,"Mainstem of Rapid Creek, including all tributaries and wetlands, from its source to a point immediately below the confluence with Cottonwood Creek including Kruzen Springs.",9105001,"PLATEAU CREEK NEAR CAMEO, CO"
COLCLC17b_A,"Rapid Creek, including all tributaries and wetlands, from a point immediately below the confluence with Cottonwood Creek to the confluence with the Colorado River",9105002,"PLATEAU CREEK NEAR CAMEO, CO"
COUCUC04_A,"All tributaries to the Colorado River, including all wetlands, from the outlet of Lake Granby to the confluence with the Roaring Fork River, which are on National Forest lands, except for those tributaries included in Segments 1 and 2, and specific listi",9304200,"WHITE RIVER ABOVE COAL CREEK NEAR MEEKER, CO"
COUCUC03_E,Colorado River from Derby Creek to the confluence with the Roaring Fork River,9070500,"COLORADO RIVER NEAR DOTSERO, CO"
